RowNo	Month	RBD	threshold_RQ	threshold_SumRQ	threshold_SumSumRQ	P(#SumSumRQ_level=0)	P(#SumSumRQ_level=1)	P(#SumSumRQ_level=2)	P(#SumSumRQ_level=3)	P(#SumSumRQ_level=4)	P(#SumSumRQ_exceeds=0)	P(#SumSumRQ_exceeds=1)	P(#Any_SumRQ_exceeds=0)	P(#Any_SumRQ_exceeds=1)	P(#Any_RQ_exceeds=0)	P(#Any_RQ_exceeds=1)	P(#Group_fungi_1.SumRQ_level=0)	P(#Group_fungi_1.SumRQ_level=1)	P(#Group_fungi_1.SumRQ_level=2)	P(#Group_fungi_1.SumRQ_level=3)	P(#Group_fungi_1.SumRQ_level=4)	P(#Group_herbi_1.SumRQ_level=0)	P(#Group_herbi_1.SumRQ_level=1)	P(#Group_herbi_1.SumRQ_level=2)	P(#Group_herbi_1.SumRQ_level=3)	P(#Group_herbi_1.SumRQ_level=4)	P(#Group_insec_1.SumRQ_level=0)	P(#Group_insec_1.SumRQ_level=1)	P(#Group_insec_1.SumRQ_level=2)	P(#Group_insec_1.SumRQ_level=3)	P(#Group_insec_1.SumRQ_level=4)	P(#Group_fungi_1.SumRQ_exceeds=0)	P(#Group_fungi_1.SumRQ_exceeds=1)	P(#Group_fungi_1.Any_RQ_exceeds=0)	P(#Group_fungi_1.Any_RQ_exceeds=1)	P(#Group_herbi_1.SumRQ_exceeds=0)	P(#Group_herbi_1.SumRQ_exceeds=1)	P(#Group_herbi_1.Any_RQ_exceeds=0)	P(#Group_herbi_1.Any_RQ_exceeds=1)	P(#Group_insec_1.SumRQ_exceeds=0)	P(#Group_insec_1.SumRQ_exceeds=1)	P(#Group_insec_1.Any_RQ_exceeds=0)	P(#Group_insec_1.Any_RQ_exceeds=1)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=0)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=1)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=2)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=3)	P(#Group_fungi_1.Subst_chloro_1.RQ_level=4)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=0)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=1)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=2)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=3)	P(#Group_fungi_1.Subst_pyracl_1.RQ_level=4)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=0)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=1)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=2)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=3)	P(#Group_fungi_1.Subst_tebuco_1.RQ_level=4)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=0)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=1)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=2)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=3)	P(#Group_fungi_1.Subst_thioph_1.RQ_level=4)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=0)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=1)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=2)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=3)	P(#Group_fungi_1.Subst_triflo_1.RQ_level=4)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=0)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=1)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=2)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=3)	P(#Group_herbi_1.Subst_pendim_1.RQ_level=4)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=0)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=1)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=2)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=3)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_level=4)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=0)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=1)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=2)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=3)	P(#Group_herbi_1.Subst_glypho_1.RQ_level=4)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=0)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=1)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=2)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=3)	P(#Group_herbi_1.Subst_diuron_1.RQ_level=4)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=0)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=1)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=2)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=3)	P(#Group_herbi_1.Subst_dimete_1.RQ_level=4)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=0)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=1)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=2)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=3)	P(#Group_herbi_1.Subst_dichlo_1.RQ_level=4)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=0)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=1)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=2)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=3)	P(#Group_herbi_1.Subst_dicamb_1.RQ_level=4)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=0)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=1)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=2)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=3)	P(#Group_herbi_1.Subst_24dich_1.RQ_level=4)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=0)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=1)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=2)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=3)	P(#Group_insec_1.Subst_dimeto_1.RQ_level=4)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=0)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=1)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=2)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=3)	P(#Group_insec_1.Subst_chlorp_1.RQ_level=4)	P(#Group_fungi_1.Subst_chloro_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_chloro_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_pyracl_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_pyracl_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_tebuco_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_tebuco_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_thioph_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_thioph_1.RQ_exceeds=1)	P(#Group_fungi_1.Subst_triflo_1.RQ_exceeds=0)	P(#Group_fungi_1.Subst_triflo_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_pendim_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_pendim_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_mcpaaa_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_glypho_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_glypho_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_diuron_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_diuron_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dimete_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dimete_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dichlo_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dichlo_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_dicamb_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_dicamb_1.RQ_exceeds=1)	P(#Group_herbi_1.Subst_24dich_1.RQ_exceeds=0)	P(#Group_herbi_1.Subst_24dich_1.RQ_exceeds=1)	P(#Group_insec_1.Subst_dimeto_1.RQ_exceeds=0)	P(#Group_insec_1.Subst_dimeto_1.RQ_exceeds=1)	P(#Group_insec_1.Subst_chlorp_1.RQ_exceeds=0)	P(#Group_insec_1.Subst_chlorp_1.RQ_exceeds=1)
65	5	BEESCAUT_RW	0.1	0.1	0.1	8.68E-3	0.1	0.18	0.2	0.51	0.11	0.89	0.13	0.87	0.14	0.86	0.16	0.2	0.17	0.14	0.34	0.33	0.29	0.2	0.11	0.07	0.5	0.1	0.13	0.1	0.18	0.36	0.64	0.38	0.62	0.61	0.39	0.63	0.37	0.59	0.41	0.59	0.41	0.45	0.12	0.05	0.08	0.29	0.68	0.11	0.11	0.04	0.06	0.8	0.09	0.06	0.05	0	0.88	0.06	0.06	0	0	1	0	0	0	0	0.63	0.08	0.11	0.11	0.07	0.95	0.05	0	0	0	1	0	0	0	0	1	0	0	0	0	0.87	0.09	0.04	0	0	1	0	0	0	0	0.9	0.08	0.02	0	0	0.84	0.11	0.05	0	0	0.89	0.08	0.03	0	0	0.56	0.05	0.11	0.1	0.18	0.57	0.43	0.8	0.2	0.89	0.11	0.94	0.06	1	0	0.71	0.29	1	0	1	0	1	0	0.96	0.04	1	0	0.98	0.02	0.95	0.05	0.97	0.03	0.61	0.39
66	6	BEESCAUT_RW	0.1	0.1	0.1	0.04	0.23	0.2	0.17	0.36	0.27	0.73	0.29	0.71	0.31	0.69	0.29	0.25	0.14	0.09	0.23	0.51	0.25	0.12	0.08	0.04	0.66	0.06	0.08	0.07	0.12	0.54	0.46	0.56	0.44	0.76	0.24	0.77	0.23	0.72	0.28	0.72	0.28	0.58	0.13	0.03	0.06	0.2	0.78	0.08	0.08	0.02	0.03	0.87	0.07	0.04	0.02	0	0.93	0.04	0.03	0	0	1	0	0	0	0	0.74	0.06	0.08	0.08	0.04	0.98	0.02	0	0	0	1	0	0	0	0	1	0	0	0	0	0.92	0.06	0.02	0	0	1	0	0	0	0	0.95	0.05	6.85E-3	0	0	0.9	0.08	0.02	0	0	0.95	0.04	9.16E-3	0	0	0.7	0.03	0.08	0.07	0.12	0.71	0.29	0.87	0.13	0.93	0.07	0.97	0.03	1	0	0.8	0.2	1	0	1	0	1	0	0.98	0.02	1	0	0.99	6.85E-3	0.98	0.02	0.99	9.16E-3	0.73	0.27
67	7	BEESCAUT_RW	0.1	0.1	0.1	0.08	0.3	0.18	0.17	0.27	0.38	0.62	0.41	0.59	0.42	0.58	0.39	0.25	0.12	0.07	0.17	0.6	0.2	0.1	0.08	0.02	0.76	0.02	0.04	0.08	0.09	0.64	0.36	0.66	0.34	0.81	0.19	0.81	0.19	0.78	0.22	0.78	0.22	0.67	0.11	0.02	0.05	0.16	0.82	0.08	0.07	0.01	0.01	0.9	0.06	0.03	9.53E-3	0	0.95	0.03	0.01	0	0	1	0	0	0	0	0.79	0.04	0.08	0.08	0.02	0.99	0.01	0	0	0	1	0	0	0	0	1	0	0	0	0	0.95	0.04	7.6E-3	0	0	1	0	0	0	0	0.96	0.03	3.47E-3	0	0	0.93	0.06	9.95E-3	0	0	0.98	0.02	3.96E-3	0	0	0.78	4.52E-3	0.04	0.08	0.09	0.78	0.22	0.9	0.1	0.96	0.04	0.99	0.01	1	0	0.83	0.17	1	0	1	0	1	0	0.99	7.6E-3	1	0	1	3.47E-3	0.99	9.95E-3	1	3.96E-3	0.78	0.22
68	8	BEESCAUT_RW	0.1	0.1	0.1	7.97E-3	0.08	0.17	0.2	0.54	0.09	0.91	0.11	0.89	0.12	0.88	0.17	0.17	0.16	0.14	0.35	0.25	0.31	0.24	0.12	0.08	0.47	0.1	0.13	0.1	0.2	0.34	0.66	0.36	0.64	0.56	0.44	0.58	0.42	0.57	0.43	0.58	0.42	0.48	0.08	0.05	0.08	0.31	0.68	0.11	0.11	0.04	0.06	0.77	0.1	0.07	0.06	0	0.87	0.07	0.07	0	0	1	0	0	0	0	0.62	0.07	0.11	0.11	0.08	0.93	0.07	0	0	0	1	0	0	0	0	1	0	0	0	0	0.83	0.12	0.06	0	0	1	0	0	0	0	0.85	0.12	0.04	0	0	0.77	0.15	0.08	0	0	0.84	0.12	0.04	0	0	0.56	0.04	0.1	0.1	0.2	0.56	0.44	0.79	0.21	0.87	0.13	0.93	0.07	1	0	0.7	0.3	1	0	1	0	1	0	0.94	0.06	1	0	0.96	0.04	0.92	0.08	0.96	0.04	0.6	0.4
69	9	BEESCAUT_RW	0.1	0.1	0.1	0.05	0.2	0.19	0.18	0.38	0.25	0.75	0.27	0.73	0.28	0.72	0.33	0.19	0.14	0.09	0.24	0.47	0.26	0.14	0.09	0.04	0.65	0.05	0.08	0.09	0.13	0.52	0.48	0.53	0.47	0.73	0.27	0.74	0.26	0.7	0.3	0.7	0.3	0.65	0.05	0.03	0.06	0.22	0.76	0.09	0.09	0.03	0.03	0.85	0.08	0.05	0.02	0	0.92	0.05	0.03	0	0	1	0	0	0	0	0.73	0.06	0.09	0.09	0.04	0.98	0.02	0	0	0	1	0	0	0	0	1	0	0	0	0	0.91	0.07	0.02	0	0	1	0	0	0	0	0.93	0.06	0.01	0	0	0.88	0.09	0.03	0	0	0.94	0.05	0.01	0	0	0.69	0.02	0.07	0.09	0.13	0.69	0.31	0.85	0.15	0.93	0.07	0.97	0.03	1	0	0.78	0.22	1	0	1	0	1	0	0.98	0.02	1	0	0.99	0.01	0.97	0.03	0.99	0.01	0.71	0.29
70	10	BEESCAUT_RW	0.1	0.1	0.1	0.09	0.27	0.17	0.17	0.29	0.36	0.64	0.38	0.62	0.39	0.61	0.42	0.21	0.13	0.06	0.18	0.58	0.19	0.11	0.09	0.02	0.77	0.01	0.02	0.09	0.11	0.63	0.37	0.64	0.36	0.78	0.22	0.78	0.22	0.78	0.22	0.78	0.22	0.72	0.05	0.01	0.04	0.18	0.8	0.08	0.1	0.01	8.88E-3	0.89	0.07	0.03	7.43E-3	0	0.95	0.04	0.01	0	0	1	0	0	0	0	0.78	0.03	0.08	0.09	0.02	0.99	0.01	0	0	0	1	0	0	0	0	1	0	0	0	0	0.94	0.05	5.25E-3	0	0	1	0	0	0	0	0.95	0.04	2.81E-3	0	0	0.92	0.04	0.03	0	0	0.98	0.01	3.28E-3	0	0	0.78	1.61E-3	0.02	0.09	0.11	0.77	0.23	0.88	0.12	0.96	0.04	0.99	0.01	1	0	0.82	0.18	1	0	1	0	1	0	0.99	5.25E-3	1	0	1	2.81E-3	0.97	0.03	1	3.28E-3	0.78	0.22
71	11	BEESCAUT_RW	0.1	0.1	0.1	0.02	0.19	0.23	0.2	0.36	0.22	0.78	0.25	0.75	0.26	0.74	0.23	0.25	0.16	0.12	0.23	0.51	0.24	0.14	0.07	0.05	0.57	0.12	0.13	0.07	0.11	0.48	0.52	0.5	0.5	0.75	0.25	0.76	0.24	0.69	0.31	0.69	0.31	0.47	0.17	0.08	0.09	0.2	0.78	0.09	0.07	0.02	0.04	0.88	0.05	0.04	0.03	0	0.93	0.04	0.03	0	0	1	0	0	0	0	0.72	0.08	0.09	0.07	0.05	0.98	0.02	0	0	0	1	0	0	0	0	1	0	0	0	0	0.94	0.04	0.02	0	0	1	0	0	0	0	0.95	0.04	0.01	0	0	0.92	0.05	0.02	0	0	0.96	0.03	0.01	0	0	0.6	0.1	0.12	0.07	0.11	0.64	0.36	0.87	0.13	0.93	0.07	0.97	0.03	1	0	0.8	0.2	1	0	1	0	1	0	0.98	0.02	1	0	0.99	0.01	0.98	0.02	0.99	0.01	0.7	0.3
72	12	BEESCAUT_RW	0.1	0.1	0.1	0.06	0.31	0.22	0.17	0.25	0.37	0.63	0.4	0.6	0.41	0.59	0.33	0.3	0.12	0.08	0.17	0.65	0.17	0.1	0.06	0.01	0.7	0.07	0.09	0.06	0.08	0.63	0.37	0.64	0.36	0.83	0.17	0.83	0.17	0.77	0.23	0.77	0.23	0.58	0.15	0.04	0.07	0.16	0.82	0.09	0.06	0.01	0.01	0.93	0.05	0.02	4.94E-3	0	0.97	0.03	7.72E-3	0	0	1	0	0	0	0	0.77	0.07	0.09	0.06	0.01	1	2.59E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.98	0.02	1.86E-3	0	0	1	0	0	0	0	0.99	0.01	6.22E-4	0	0	0.97	0.03	2.08E-3	0	0	0.99	0.01	1.84E-3	0	0	0.71	0.06	0.09	0.06	0.08	0.73	0.27	0.91	0.09	0.97	0.03	0.99	7.72E-3	1	0	0.84	0.16	1	0	1	0	1	0	1	1.86E-3	1	0	1	6.22E-4	1	2.08E-3	1	1.84E-3	0.77	0.23
73	1	BEMAAS_VL	0.1	0.1	0.1	0.01	0.09	0.28	0.32	0.3	0.1	0.9	0.12	0.88	0.12	0.88	0.15	0.21	0.19	0.21	0.24	0.45	0.26	0.27	0.01	3.73E-6	0.41	0.04	0.35	0.15	0.05	0.36	0.64	0.38	0.62	0.72	0.28	0.72	0.28	0.45	0.55	0.45	0.55	0.35	0.07	0.15	0.2	0.24	0.64	0.27	0.08	2.07E-3	1.4E-3	0.97	0.02	5.57E-3	1.93E-3	0	0.99	0.01	4.93E-5	0	0	1	0	0	0	0	0.52	0.2	0.26	0.01	3.73E-6	1	1.94E-6	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1.32E-4	3.32E-9	0	0	1	0	0	0	0	1	1.35E-4	4.25E-9	0	0	1	6.81E-4	1.16E-11	0	0	1	1.09E-4	2.31E-8	0	0	0.41	0.04	0.35	0.15	0.05	0.42	0.58	0.92	0.08	0.99	7.49E-3	1	4.93E-5	1	0	0.72	0.28	1	0	1	0	1	0	1	3.32E-9	1	0	1	4.25E-9	1	1.16E-11	1	2.31E-8	0.45	0.55
74	2	BEMAAS_VL	0.1	0.1	0.1	0.04	0.18	0.45	0.26	0.06	0.22	0.78	0.24	0.76	0.25	0.75	0.29	0.2	0.28	0.18	0.06	0.62	0.3	0.08	4.42E-15	1.9E-35	0.5	0.04	0.46	1.73E-3	5.78E-4	0.49	0.51	0.5	0.5	0.92	0.08	0.92	0.08	0.54	0.46	0.54	0.46	0.44	0.06	0.27	0.17	0.06	0.76	0.24	3.11E-10	2.31E-35	1.54E-35	1	2.81E-4	1.08E-15	1.53E-40	0	1	8.88E-13	5.54E-45	0	0	1	0	0	0	0	0.73	0.19	0.08	4.42E-15	1.55E-48	1	4.97E-34	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2.21E-29	4.02E-63	0	0	1	0	0	0	0	1	2.01E-14	4.62E-38	0	0	1	1.37E-19	5.72E-109	0	0	1	7.12E-11	2.9E-20	0	0	0.5	0.04	0.46	1.73E-3	5.78E-4	0.5	0.5	1	3.11E-10	1	1.08E-15	1	5.54E-45	1	0	0.92	0.08	1	0	1	0	1	0	1	4.02E-63	1	0	1	4.62E-38	1	5.72E-109	1	2.9E-20	0.54	0.46
75	3	BEMAAS_VL	0.1	0.1	0.1	8.36E-3	0.09	0.21	0.29	0.41	0.1	0.9	0.12	0.88	0.13	0.87	0.13	0.24	0.15	0.18	0.3	0.41	0.28	0.23	0.07	4.2E-3	0.39	0.07	0.25	0.18	0.11	0.37	0.63	0.4	0.6	0.69	0.31	0.7	0.3	0.46	0.54	0.46	0.54	0.35	0.06	0.12	0.17	0.3	0.56	0.41	0.02	3.18E-3	3.77E-3	0.96	0.03	5.93E-3	2.46E-6	0	0.97	0.03	3.11E-3	0	0	1	0	0	0	0	0.52	0.18	0.22	0.07	4.19E-3	1	1.05E-5	0	0	0	1	0	0	0	0	1	0	0	0	0	0.98	0.02	9.69E-4	0	0	1	0	0	0	0	0.99	5.14E-3	9.19E-5	0	0	0.98	0.02	3.2E-4	0	0	1	1.63E-3	5.4E-6	0	0	0.39	0.07	0.25	0.18	0.11	0.41	0.59	0.98	0.02	0.99	5.94E-3	1	3.11E-3	1	0	0.7	0.3	1	0	1	0	1	0	1	9.69E-4	1	0	1	9.19E-5	1	3.2E-4	1	5.4E-6	0.46	0.54
76	4	BEMAAS_VL	0.1	0.1	0.1	3.66E-3	0.05	0.15	0.29	0.51	0.05	0.95	0.07	0.93	0.08	0.92	0.07	0.22	0.12	0.22	0.36	0.33	0.22	0.34	0.1	1.8E-4	0.38	0.02	0.19	0.26	0.14	0.3	0.7	0.34	0.66	0.56	0.44	0.57	0.43	0.41	0.59	0.41	0.59	0.25	0.12	0.06	0.22	0.36	0.51	0.43	0.05	1.54E-3	1.66E-3	0.91	0.07	0.02	3.21E-5	0	0.94	0.05	3.08E-3	0	0	1	0	0	0	0	0.41	0.15	0.33	0.1	1.79E-4	1	1.72E-8	0	0	0	1	0	0	0	0	1	0	0	0	0	0.98	0.02	1.26E-4	0	0	1	0	0	0	0	1	3.64E-3	6.15E-6	0	0	0.99	0.01	5.19E-8	0	0	1	1.66E-3	6.35E-9	0	0	0.38	0.02	0.19	0.26	0.14	0.37	0.63	0.95	0.05	0.98	0.02	1	3.08E-3	1	0	0.57	0.43	1	0	1	0	1	0	1	1.26E-4	1	0	1	6.15E-6	1	5.19E-8	1	6.35E-9	0.41	0.59
77	5	BEMAAS_VL	0.1	0.1	0.1	0.02	0.15	0.33	0.27	0.23	0.17	0.83	0.19	0.81	0.22	0.78	0.16	0.36	0.19	0.12	0.17	0.5	0.21	0.29	5.05E-4	1.21E-12	0.5	0.02	0.25	0.17	0.06	0.52	0.48	0.58	0.42	0.71	0.29	0.72	0.28	0.52	0.48	0.52	0.48	0.37	0.22	0.13	0.12	0.17	0.59	0.39	0.02	1.22E-7	8.14E-8	0.99	0.01	6.5E-5	4.28E-12	0	1	3.24E-4	6.2E-14	0	0	1	0	0	0	0	0.55	0.17	0.28	5.04E-4	6.79E-13	1	8.87E-7	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4.71E-6	3.31E-13	0	0	1	0	0	0	0	1	1.79E-4	1.14E-9	0	0	1	1.02E-3	1.61E-12	0	0	1	4.19E-5	8.34E-10	0	0	0.5	0.02	0.25	0.17	0.06	0.59	0.41	0.98	0.02	1	6.5E-5	1	6.2E-14	1	0	0.72	0.28	1	0	1	0	1	0	1	3.31E-13	1	0	1	1.14E-9	1	1.61E-12	1	8.34E-10	0.52	0.48
78	6	BEMAAS_VL	0.1	0.1	0.1	4.29E-3	0.06	0.15	0.29	0.5	0.06	0.94	0.07	0.93	0.08	0.92	0.09	0.19	0.15	0.22	0.36	0.34	0.28	0.24	0.12	0.01	0.39	0.05	0.22	0.21	0.14	0.27	0.73	0.3	0.7	0.62	0.38	0.63	0.37	0.43	0.57	0.43	0.57	0.26	0.12	0.07	0.21	0.34	0.56	0.24	0.16	0.02	0.02	0.96	0.03	6.01E-3	2.75E-3	0	0.93	0.06	0.01	0	0	1	0	0	0	0	0.48	0.16	0.23	0.12	0.01	1	2.43E-3	0	0	0	1	0	0	0	0	1	0	0	0	0	0.95	0.05	3.61E-3	0	0	1	0	0	0	0	0.99	7.06E-3	6.44E-5	0	0	0.96	0.04	2.4E-4	0	0	0.99	6.6E-3	6.59E-5	0	0	0.39	0.04	0.22	0.21	0.14	0.38	0.62	0.8	0.2	0.99	8.77E-3	0.99	0.01	1	0	0.64	0.36	1	0	1	0	1	0	1	3.61E-3	1	0	1	6.44E-5	1	2.4E-4	1	6.59E-5	0.43	0.57
79	7	BEMAAS_VL	0.1	0.1	0.1	2.89E-3	0.04	0.13	0.25	0.57	0.05	0.95	0.06	0.94	0.06	0.94	0.08	0.18	0.15	0.16	0.43	0.3	0.25	0.3	0.15	3.46E-3	0.39	0.02	0.17	0.26	0.17	0.26	0.74	0.28	0.72	0.54	0.46	0.56	0.44	0.41	0.59	0.41	0.59	0.34	0.05	0.03	0.16	0.42	0.45	0.29	0.25	2.04E-3	1.36E-3	0.89	0.08	0.02	7.43E-7	0	0.92	0.07	6.83E-3	0	0	1	0	0	0	0	0.42	0.14	0.29	0.15	3.46E-3	1	9.15E-4	0	0	0	1	0	0	0	0	1	0	0	0	0	0.96	0.04	3.98E-4	0	0	1	0	0	0	0	0.99	8.47E-3	3.87E-5	0	0	0.97	0.03	5.1E-7	0	0	0.99	5.65E-3	6.75E-6	0	0	0.39	0.02	0.17	0.26	0.17	0.4	0.6	0.74	0.26	0.98	0.02	0.99	6.83E-3	1	0	0.56	0.44	1	0	1	0	1	0	1	3.98E-4	1	0	1	3.87E-5	1	5.1E-7	1	6.75E-6	0.41	0.59
80	8	BEMAAS_VL	0.1	0.1	0.1	0.02	0.12	0.19	0.29	0.37	0.14	0.86	0.16	0.84	0.17	0.83	0.18	0.29	0.08	0.18	0.27	0.47	0.18	0.35	4.88E-7	1.05E-15	0.5	9.8E-3	0.13	0.27	0.09	0.47	0.53	0.49	0.51	0.65	0.35	0.66	0.34	0.51	0.49	0.51	0.49	0.45	0.05	0.05	0.18	0.27	0.56	0.43	0.01	2.04E-14	1.36E-14	0.98	0.02	3.4E-6	8.29E-21	0	1	6.79E-5	1.62E-23	0	0	1	0	0	0	0	0.5	0.16	0.34	4.88E-7	2.12E-32	1	1.66E-22	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4.19E-10	1.58E-29	0	0	1	0	0	0	0	1	4.09E-5	8.3E-20	0	0	1	1.26E-3	2.22E-44	0	0	1	2.08E-5	6.78E-14	0	0	0.5	9.8E-3	0.13	0.27	0.09	0.5	0.5	0.99	0.01	1	3.4E-6	1	1.62E-23	1	0	0.66	0.34	1	0	1	0	1	0	1	1.58E-29	1	0	1	8.3E-20	1	2.22E-44	1	6.78E-14	0.51	0.49
81	9	BEMAAS_VL	0.1	0.1	0.1	4.26E-3	0.06	0.17	0.29	0.48	0.06	0.94	0.08	0.92	0.09	0.91	0.07	0.21	0.15	0.22	0.35	0.41	0.27	0.28	0.03	0.02	0.38	0.03	0.23	0.24	0.13	0.28	0.72	0.32	0.68	0.67	0.33	0.68	0.32	0.41	0.59	0.41	0.59	0.26	0.12	0.06	0.21	0.35	0.46	0.39	0.15	1.19E-4	7.93E-5	0.97	0.03	3.51E-3	4.0E-11	0	0.95	0.05	2.58E-4	0	0	1	0	0	0	0	0.51	0.17	0.27	0.03	0.02	1	9.3E-7	0	0	0	1	0	0	0	0	1	0	0	0	0	0.99	0.01	2.01E-3	0	0	1	0	0	0	0	1	3.7E-3	2.49E-6	0	0	0.99	0.01	7.16E-4	0	0	1	1.77E-3	1.03E-8	0	0	0.38	0.03	0.23	0.24	0.13	0.38	0.62	0.85	0.15	1	3.51E-3	1	2.58E-4	1	0	0.69	0.31	1	0	1	0	1	0	1	2.01E-3	1	0	1	2.49E-6	1	7.16E-4	1	1.03E-8	0.41	0.59
